trial_index,filename,source,gender,emotion,rt,correct
1,real_man1_smiling.JPG,non-ai,male,happy,0.6234647499804851,True
2,real_woman3_smiling.JPG,non-ai,female,happy,0.4962542080029379,False
3,ai_happy_man_02.jpg,ai,male,happy,0.5067957499995828,True
5,AI_happy_woman_06.jpg,ai,female,happy,0.5881537920213304,True
6,real_woman8_smiling.JPG,non-ai,female,happy,0.8302443340071477,True
7,ai_happy_man_08.jpg,ai,male,happy,0.7142193330219015,True
8,real_man19_sad.JPG,non-ai,male,sad,1.060511082992889,True
9,AI_sad_man_01.jpg,ai,male,sad,0.6485030420008115,True
10,AI_happy_woman_07.jpg,ai,female,happy,0.5656466669752263,True
11,real_woman9_smiling.JPG,non-ai,female,happy,0.5583260839921422,True
12,AI_sad_man_04.jpg,ai,male,sad,0.6102960830030497,True
13,ai_happy_man_06.jpg,ai,male,happy,0.6868730840214994,True
14,real_man5_smiling.JPG,non-ai,male,happy,0.7040016660175752,True
15,real_woman16_sad.JPG,non-ai,female,sad,0.7843817499815486,True
16,real_man12_sad.JPG,non-ai,male,sad,0.7983485409931745,True
17,AI_happy_woman_09.jpg,ai,female,happy,0.6579369579849299,True
18,real_man15_sad.JPG,non-ai,male,sad,1.0246575420023871,True
19,real_woman2_smiling.JPG,non-ai,female,happy,0.6315550830040593,True
20,AI_sad_man_10.jpg,ai,male,sad,0.6161604580120184,True
21,AI_sad_woman_04.jpg,ai,female,sad,0.8259182920155581,True
22,real_man13_sad.JPG,non-ai,male,sad,0.5454465420043562,True
23,real_woman7_smiling.JPG,non-ai,female,happy,1.0799144170014188,True
24,AI_sad_woman_06.jpg,ai,female,sad,0.6508859999885317,True
25,AI_sad_man_05.jpg,ai,male,sad,0.5659781659778673,True
26,real_man17_sad.JPG,non-ai,male,sad,0.5762102080043405,True
27,AI_sad_man_09.jpg,ai,male,sad,0.6760194590024184,True
28,real_man9_smiling.JPG,non-ai,male,happy,0.7315286249795463,True
29,real_man18_sad.JPG,non-ai,male,sad,0.580648959003156,True
30,AI_sad_man_08.jpg,ai,male,sad,0.6532673339825124,True
31,real_man16_sad.JPG,non-ai,male,sad,0.5582602499925997,True
32,AI_happy_woman_05.jpg,ai,female,happy,0.7356226670090109,True
33,AI_sad_woman_07.jpg,ai,female,sad,0.9466709999833256,True
34,real_man8_smiling.JPG,non-ai,male,happy,0.8787158750055823,True
35,AI_sad_man_03.jpg,ai,male,sad,0.5068129169812892,True
36,AI_happy_woman_01.jpg,ai,female,happy,0.5305371670110617,True
37,AI_sad_woman_02.jpg,ai,female,sad,1.1107798750163056,False
38,real_woman19_sad.JPG,non-ai,female,sad,1.0402672920026816,False
39,AI_sad_woman_05.jpg,ai,female,sad,0.9232144159905148,True
40,real_woman5_smiling.JPG,non-ai,female,happy,0.6876327919890173,True
41,AI_happy_woman_04.jpg,ai,female,happy,0.831022500002291,True
42,ai_happy_man_05.jpg,ai,male,happy,0.7358903329877649,True
43,real_man14_sad.JPG,non-ai,male,sad,0.9209188329987228,True
44,real_man10_smiling.JPG,non-ai,male,happy,0.7459395830228459,True
45,ai_happy_man_10.jpg,ai,male,happy,0.7679908330028411,True
46,real_man11_sad.JPG,non-ai,male,sad,0.8955190840060823,True
47,real_woman1_smiling.JPG,non-ai,female,happy,0.6976577080204152,True
48,AI_happy_woman_03.jpg,ai,female,happy,0.6731997499882709,True
49,AI_sad_woman_01.jpg,ai,female,sad,0.5630327080143616,True
50,AI_sad_man_06.jpg,ai,male,sad,0.5923579579975922,False
52,real_man2_smiling.JPG,non-ai,male,happy,1.0284394169866573,True
53,AI_happy_woman_08.jpg,ai,female,happy,0.6297776249994058,True
54,AI_sad_woman_08.jpg,ai,female,sad,0.6908342920069117,True
55,ai_happy_man_09.jpg,ai,male,happy,0.628577708004741,True
56,real_woman13_sad.JPG,non-ai,female,sad,0.7096067910024431,True
57,real_woman4_smiling.JPG,non-ai,female,happy,0.6337188330071513,True
59,AI_sad_man_02.jpg,ai,male,sad,0.7071329999889713,True
60,AI_sad_woman_09.jpg,ai,female,sad,0.6627616670157295,True
61,real_woman18_sad.JPG,non-ai,female,sad,0.5882733339967672,True
62,real_woman14_sad.JPG,non-ai,female,sad,0.5346271249873098,True
63,AI_sad_man_07.jpg,ai,male,sad,0.9209915829997044,True
64,real_woman10_smiling.JPG,non-ai,female,happy,0.7609117090178188,True
65,ai_happy_man_04.jpg,ai,male,happy,0.9263353749993256,True
66,ai_happy_man_07.jpg,ai,male,happy,0.9725722919974942,True
67,real_woman17_sad.JPG,non-ai,female,sad,0.7146635000244714,True
68,real_man6_smiling.JPG,non-ai,male,happy,0.770020583004225,True
69,AI_happy_woman_10.jpg,ai,female,happy,0.9898881669796538,True
70,ai_happy_man_03.jpg,ai,male,happy,0.7763668340048753,True
71,AI_happy_woman_02.jpg,ai,female,happy,0.5292932920274325,True
72,real_woman12_sad.JPG,non-ai,female,sad,0.907807125011459,True
73,real_woman6_smiling.JPG,non-ai,female,happy,0.8342091660015285,True
74,AI_sad_woman_03.jpg,ai,female,sad,0.9272247499902732,True
76,real_man7_smiling.JPG,non-ai,male,happy,0.6501918750000186,True
78,ai_happy_man_01.jpg,ai,male,happy,0.734239792014705,True
79,real_man3_smiling.JPG,non-ai,male,happy,0.6840183330059517,False
